word,freq,si_mean,si_max,si_min
Ambrose,38,0.5095097919631946,0.9932746887207031,0.015969034284353256
Montenegro,32,0.25645360321504995,0.6697670817375183,-0.11823935061693192
Elvin,32,0.182911803945899,0.6201882362365723,-0.1658523827791214
Ameen,30,0.2510620307798187,1.044219970703125,-0.17200562357902527
Hina,24,0.28715444266951334,0.7759987115859985,-0.1470031887292862
Mahfouz,24,0.14906387962400913,0.3957078456878662,-0.4477333426475525
Abera,22,0.19347449256615204,0.685573160648346,-0.2048761248588562
Abilov,18,0.2531470505313741,0.5041301846504211,0.021333176642656326
Marais,18,0.21987285997925532,0.7953089475631714,-0.12933486700057983
Adib,16,0.22630396438762546,0.4613119065761566,-0.026060007512569427
Mammadov,15,0.17732189260423184,0.4017793536186218,-0.27745771408081055
Moshe,14,0.15730150789022446,0.27007603645324707,0.05798552185297012
Majumdar,12,0.24807681826253733,0.46203678846359253,-0.052999816834926605
Bibliophiles,12,0.22716098511591554,0.7000144720077515,-0.09815182536840439
Behrouz,12,0.0883981582398216,0.2703036963939667,-0.148520827293396
Carmen,10,0.32199125811457635,0.574445366859436,0.11303886026144028
Jad,10,0.25895659774541857,0.45672520995140076,0.06321382522583008
Nakamura,10,0.12179240416735411,0.45929595828056335,-0.322179913520813
Sensual,9,0.2044522092781133,0.5767542719841003,-0.08458676189184189
Rajeev,9,0.1895932544850641,0.42786720395088196,-0.009517008438706398
Hsiao,9,0.14307616526881853,0.5166617035865784,-0.08256849646568298
Lanterns,8,0.14966170850675553,0.7925630807876587,-0.2088295817375183
Patrick,7,0.1854840580906187,0.21769441664218903,0.15986567735671997
Williams,6,0.406927431623141,1.007201910018921,0.15676158666610718
Matrimony,6,0.27596474314729375,0.7400550842285156,-0.10096034407615662
Thrawn,6,0.22217969844738641,0.4761252999305725,-0.11063416302204132
Silence,6,0.18326379917562008,0.3061099648475647,0.055391695350408554
Literary,6,0.09303886567552884,0.3848837912082672,-0.17210204899311066
MajumdarâĢĻs,5,0.3097675757482648,0.6871675848960876,0.01362913940101862
Banker,4,0.3329317383468151,0.7664324045181274,-0.20851971209049225
Irwin,4,0.27380103152245283,0.48905882239341736,0.03765032812952995
Tolstoy,4,0.20260569592937827,0.5512915849685669,-0.005025586113333702
Baku,4,0.1961327511817217,0.470817506313324,-0.07364293932914734
Readers,4,0.1668639921117574,0.3301445543766022,0.012189486064016819
Distinguished,4,0.1624010307714343,0.3964228928089142,-0.07254546135663986
Jarrah,4,0.12409773096442223,0.34233558177948,-0.1302468180656433
Shadows,4,0.06443511694669724,0.24326400458812714,-0.18800920248031616
Park,3,0.4330303768316905,0.6751015186309814,0.2669067978858948
Answer,3,0.4139338433742523,0.5006756782531738,0.33322015404701233
Beirut,3,0.2774974852800369,0.47319328784942627,-0.019506409764289856
Fostering,3,0.24922864014903703,0.4258984923362732,0.004026126116514206
Bidayah,3,0.21477668484052023,0.283934623003006,0.0772722065448761
Raven,3,0.21389422317345938,0.24108099937438965,0.19930244982242584
Optometrist,3,0.1961650848388672,0.3533334732055664,0.10940073430538177
Goncourt,3,0.17210531855622926,0.4517781138420105,-0.05829198285937309
Bulgakov,3,0.15962262203296027,0.4493213891983032,-0.03247183561325073
Embracing,3,0.14059600979089737,0.6299343109130859,-0.15031468868255615
Conquering,3,0.13325455288092294,0.2607608437538147,0.03765405714511871
Granite,3,0.12980825205643973,0.417766273021698,-0.23696263134479523
Sustainability,3,0.11332953876505296,0.405211865901947,-0.0788368210196495
Paramedic,3,0.11100039631128311,0.4072993993759155,-0.11990204453468323
Aysha,3,0.09687793503204982,0.17240965366363525,0.05754102021455765
Literature,2,0.40257367491722107,0.5149233937263489,0.29022395610809326
Leaky,2,0.34615278244018555,0.4040769934654236,0.2882285714149475
Seine,2,0.3348992168903351,0.5370134115219116,0.13278502225875854
Mercy,2,0.27970172837376595,0.5164636969566345,0.04293975979089737
Melodies,2,0.26475319266319275,0.36437880992889404,0.16512757539749146
Lee,2,0.24270127713680267,0.3290788531303406,0.15632370114326477
Primitive,2,0.24199724663048983,0.47472015023231506,0.009274343028664589
Breath,2,0.2414269968867302,0.44320541620254517,0.03964857757091522
Discoveries,2,0.2355148047208786,0.40246158838272095,0.06856802105903625
Healer,2,0.23541024327278137,0.32846227288246155,0.1423582136631012
Rodrigo,2,0.23154133930802345,0.520361065864563,-0.05727838724851608
Organa,2,0.224554643034935,0.34191033244132996,0.10719895362854004
Romance,2,0.21845588088035583,0.3036820590496063,0.13322970271110535
Emerald,2,0.20920955389738083,0.3630085587501526,0.05541054904460907
Thieves,2,0.20123673975467682,0.42002934217453003,-0.01755586266517639
Piece,2,0.19637910835444927,0.43454766273498535,-0.04178944602608681
Vanished,2,0.18851360050030053,0.3816058337688446,-0.004578632768243551
Rainbows,2,0.16643138602375984,0.3513866364955902,-0.018523864448070526
Worku,2,0.15464483201503754,0.46743854880332947,-0.1581488847732544
Medea,2,0.14527908712625504,0.4800475835800171,-0.18948940932750702
Galactic,2,0.1430274152662605,0.2860332727432251,2.155778929591179e-05
Petit,2,0.11723315715789795,0.40456631779670715,-0.17010000348091125
Manama,2,0.04406177997589111,0.36458703875541687,-0.27646347880363464
February,1,0.37248700857162476,0.37248700857162476,0.37248700857162476
Love,1,0.3342803716659546,0.3342803716659546,0.3342803716659546
Basil,1,0.32221677899360657,0.32221677899360657,0.32221677899360657
Art,1,0.3129799962043762,0.3129799962043762,0.3129799962043762
Cape,1,0.29462507367134094,0.29462507367134094,0.29462507367134094
Disc,1,0.26369237899780273,0.26369237899780273,0.26369237899780273
Another,1,0.2326352298259735,0.2326352298259735,0.2326352298259735
New,1,0.22543887794017792,0.22543887794017792,0.22543887794017792
Star,1,0.18034711480140686,0.18034711480140686,0.18034711480140686
